name,location
Knight Giza pyramids Inn,"Giza, Cairo"
golden palace down town,"Downtown Cairo, Cairo"
"Lencia Hotel,Downtown",Cairo
CASTELLO HOTEL,Cairo
Comfort Sphinx Inn,"Giza, Cairo"
New Wasseem Boutique,Cairo
New Comfort Inn Giza,"Giza, Cairo"
Pyramids star lights,"Giza, Cairo"
Cleopatra Tower Pyramids View,"Giza, Cairo"
Locanda Pyramids Hotel,"Giza, Cairo"
Comfort Pyramids&Sphinx Inn,"Giza, Cairo"
Solima pyramids inn,"Giza, Cairo"
White House Pyramids View,"Giza, Cairo"
PYRAMIDS LEGEND HOTEL,"Giza, Cairo"
happy dream pyramids inn,"Giza, Cairo"
fantastic Pyramids view inn hotel,"Giza, Cairo"
Blue Pyramids Eyes Hotel,"Giza, Cairo"
Tuya Pyramids View,"Giza, Cairo"
Horus Guest House Pyramids View,"Giza, Cairo"
Atlas International Hotels,Cairo
City View Museum Hotel,"Downtown Cairo, Cairo"
Prince Pyramids Inn,"Giza, Cairo"
Rizk Pyramids View Hotel,"Giza, Cairo"
Papyrus Pyramids,"Giza, Cairo"
Lucky Hostel,Cairo
